Company,Major index membership,Market capitalization,Income (ttm),Revenue (ttm),Book value per share (mrq),Cash per share (mrq),Dividend (annual),Dividend yield (annual),Full time employees,Stock has options trading on a market exchange,Stock available to sell short,Analysts' mean recommendation (1=Buy 5=Sell),Price-to-Earnings (ttm),Forward Price-to-Earnings (next fiscal year),Price-to-Earnings-to-Growth,Price-to-Sales (ttm),Price-to-Book (mrq),Price to cash per share (mrq),Price to Free Cash Flow (ttm),Quick Ratio (mrq),Current Ratio (mrq),Total Debt to Equity (mrq),Long Term Debt to Equity (mrq),Distance from 20-Day Simple Moving Average,Diluted EPS (ttm),EPS estimate for next year,EPS estimate for next quarter,EPS growth this year,EPS growth next year,Long term annual growth estimate (5 years),Annual EPS growth past 5 years,Annual sales growth past 5 years,Quarterly revenue growth (YoY),Quarterly earnings growth (YoY),Earnings date<br><br>BMO = Before Market Open<br>AMC = After Market Close,Distance from 50-Day Simple Moving Average,Insider ownership,Insider transactions (6-Month change in Insider Ownership),Institutional ownership,Institutional transactions (3-Month change in Institutional Ownership),Return on Assets (ttm),Return on Equity (ttm),Return on Investment (ttm),Gross Margin (ttm),Operating Margin (ttm),Net Profit Margin (ttm),Dividend Payout Ratio (ttm),Distance from 200-Day Simple Moving Average,Shares outstanding,Shares float,Short interest share / ratio,Short interest,Analysts' mean target price,52-Week trading range,Distance from 52-Week High,Distance from 52-Week Low,Relative Strength Index,Relative volume,Average volume (3 month),Volume,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (Year To Date),Beta,Average True Range (14),"Volatility (Week, Month)",Previous close,Current stock price,Performance (today)
A,S&P 500,41.05B,1.32B,6.93B,18.95,-,0.90,0.64%,18300,Yes,Yes,1.90,31.77,22.34,2.32,5.92,7.44,-,50.87,1.50,2.10,0.53,0.49,-3.07%,4.43,6.31,1.26,6.10%,10.83%,13.67%,14.80%,8.90%,4.90%,26.90%,Feb 28 AMC,-5.97%,0.30%,-22.61%,90.70%,-3.31%,12.50%,25.00%,16.90%,54.50%,24.10%,19.10%,18.90%,3.23%,296.00M,294.19M,1.02% / 2.33,2.99M,164.29,112.52 - 160.26,-11.79%,25.64%,40.30,0.47,1.28M,"312,065",-0.21%,-8.50%,-6.59%,7.56%,9.32%,-5.53%,1.04,3.27,2.37% 2.09%,140.90,141.37,0.33%
AAL,S&P 500,10.65B,127.00M,48.97B,-8.91,13.97,-,-,129700,Yes,Yes,3.00,150.82,5.79,-,0.22,-,1.19,5.87,0.60,0.70,-,-,0.77%,0.11,2.87,0.01,106.30%,43.64%,-,-46.10%,2.80%,39.90%,183.40%,Jan 26 BMO,4.09%,0.10%,-12.99%,55.50%,1.49%,0.20%,-1.60%,5.20%,57.90%,3.30%,0.30%,0.00%,13.28%,650.95M,642.23M,11.27% / 2.88,72.37M,16.57,11.65 - 21.42,-23.64%,40.38%,53.77,0.61,25.16M,"7,890,314",1.47%,-3.56%,14.14%,17.76%,21.07%,28.59%,1.56,0.48,2.65% 2.73%,16.59,16.36,-1.41%
AAP,S&P 500,7.88B,501.90M,11.15B,45.06,4.52,6.00,4.54%,40000,Yes,Yes,2.70,16.00,11.11,2.73,0.71,2.93,29.26,-,0.20,1.10,0.51,0.44,-8.20%,8.26,11.90,2.69,-13.50%,6.27%,5.85%,13.10%,3.50%,3.20%,37.80%,Feb 28 BMO,-10.40%,0.20%,0.00%,98.37%,-3.50%,4.20%,18.10%,13.80%,44.50%,6.30%,4.50%,54.10%,-21.37%,59.44M,58.78M,5.79% / 3.06,3.41M,153.42,130.94 - 231.43,-42.90%,0.92%,28.70,0.79,1.11M,"454,142",-5.08%,-12.76%,-9.20%,-25.89%,-34.12%,-10.13%,1.15,3.70,2.08% 2.39%,132.21,132.14,-0.05%
AAPL,"DJIA, NDX, S&P 500",2336.71B,95.17B,387.54B,3.57,3.36,0.92,0.60%,164000,Yes,Yes,2.00,25.97,23.20,3.19,6.03,42.82,45.50,28.28,0.90,0.90,1.96,1.76,2.21%,5.89,6.59,1.43,8.90%,10.41%,8.13%,21.60%,11.50%,-5.50%,-10.30%,Feb 02 AMC,7.90%,0.07%,-4.73%,60.10%,-0.48%,27.50%,163.50%,58.30%,43.10%,29.40%,24.60%,15.40%,4.45%,15.89B,15.81B,0.66% / 1.42,104.34M,168.34,124.17 - 179.61,-14.31%,23.96%,60.06,0.59,73.23M,"22,342,699",5.49%,-0.48%,7.70%,-1.31%,-2.24%,18.46%,1.29,3.30,1.87% 1.86%,152.87,153.91,0.68%
ABBV,S&P 500,261.85B,11.78B,58.05B,9.74,5.27,5.92,3.96%,50000,Yes,Yes,2.40,22.57,13.48,-,4.51,15.36,28.37,18.43,0.80,1.00,3.67,3.43,-1.90%,6.63,11.10,2.63,2.70%,-0.27%,-2.50%,13.30%,15.50%,1.60%,-38.80%,Feb 09 BMO,-2.50%,0.12%,-10.36%,70.90%,0.10%,8.30%,73.40%,20.50%,71.50%,31.20%,20.30%,84.80%,0.15%,1.77B,1.77B,0.66% / 2.06,11.71M,163.22,134.09 - 175.91,-15.16%,11.31%,42.36,0.58,5.70M,"1,706,632",-3.32%,2.83%,-8.84%,7.60%,1.43%,-7.65%,0.55,2.80,1.91% 1.86%,149.60,149.25,-0.23%
ABC,S&P 500,30.47B,1.73B,241.81B,-0.87,-,1.94,1.28%,39000,Yes,Yes,2.10,18.44,12.06,2.50,0.13,-,-,18.30,0.50,0.90,-,-,-4.53%,8.24,12.59,3.30,8.90%,8.23%,7.38%,37.40%,9.30%,5.40%,9.30%,Feb 01 BMO,-6.75%,0.20%,-97.97%,72.40%,0.01%,3.00%,-,34.50%,3.50%,1.00%,0.70%,22.40%,-1.39%,204.03M,162.29M,1.86% / 2.13,3.01M,185.00,135.14 - 174.63,-13.93%,11.23%,31.63,0.67,1.42M,"492,848",-2.96%,-4.13%,-11.23%,1.67%,4.09%,-9.29%,0.52,3.04,1.85% 1.91%,151.86,150.31,-1.02%
ABT,S&P 500,169.74B,6.93B,43.65B,21.04,5.96,2.04,2.05%,115000,Yes,Yes,2.00,25.32,20.51,3.05,3.89,4.72,16.69,37.76,1.20,1.60,0.46,0.40,-4.20%,3.92,4.85,0.99,-0.60%,10.03%,8.30%,30.50%,9.80%,-12.00%,-47.20%,Jan 25 BMO,-8.00%,0.40%,-1.48%,76.20%,0.27%,9.40%,19.20%,13.00%,56.10%,19.20%,15.90%,35.70%,-6.42%,1.74B,1.73B,0.76% / 2.75,13.19M,123.50,93.25 - 124.36,-19.77%,7.00%,35.26,0.69,4.80M,"1,709,907",-2.78%,-10.90%,-3.93%,-4.70%,-14.06%,-9.12%,0.67,2.00,2.13% 1.99%,99.40,99.78,0.38%
ACN,S&P 500,171.05B,7.05B,62.38B,36.46,9.10,4.48,1.70%,721000,Yes,Yes,2.10,23.94,20.89,2.31,2.74,7.23,28.97,27.05,1.30,1.30,0.00,0.00,-2.98%,11.01,12.62,3.08,17.00%,9.80%,10.38%,14.50%,11.20%,5.20%,10.80%,Mar 23 BMO,-3.47%,0.10%,-12.51%,75.40%,1.19%,15.30%,32.40%,31.90%,32.00%,15.10%,11.30%,36.10%,-5.85%,658.39M,657.39M,0.81% / 2.44,5.30M,317.02,242.95 - 345.30,-23.05%,9.36%,41.39,0.52,2.17M,"585,642",0.16%,-7.69%,-6.91%,-7.35%,-11.91%,-0.43%,1.24,5.37,1.57% 1.70%,263.66,265.69,0.77%
ADBE,"NDX, S&P 500",153.47B,4.76B,17.61B,30.09,13.74,-,-,29239,Yes,Yes,2.20,34.26,19.75,2.53,8.72,11.49,25.18,20.75,1.10,1.10,0.29,0.26,-1.45%,10.10,17.51,3.76,0.70%,14.39%,13.56%,24.50%,19.20%,10.10%,-1.80%,Mar 15 AMC,-1.71%,0.34%,-3.18%,84.10%,-0.74%,17.90%,33.90%,26.70%,87.70%,34.60%,27.00%,0.00%,-3.02%,467.00M,457.38M,1.14% / 1.80,5.23M,387.81,274.73 - 473.49,-26.91%,25.97%,48.06,0.98,2.90M,"1,466,964",3.78%,-9.83%,4.51%,-8.86%,-19.80%,2.84%,1.28,9.68,2.63% 2.43%,345.84,346.09,0.07%
ADI,"NDX, S&P 500",93.54B,3.43B,12.58B,72.04,3.33,3.44,1.84%,24450,Yes,Yes,2.00,28.17,17.07,2.60,7.44,2.59,55.99,34.72,1.50,2.10,0.00,0.18,1.11%,6.62,10.93,2.75,51.60%,2.07%,10.82%,18.10%,18.00%,21.10%,256.00%,Feb 15 BMO,6.76%,0.36%,-3.81%,89.30%,0.22%,6.80%,9.40%,6.80%,65.60%,32.20%,27.30%,45.60%,15.81%,507.12M,504.56M,1.07% / 1.64,5.41M,216.81,133.48 - 196.41,-4.86%,40.00%,59.57,0.68,3.30M,"1,150,758",1.23%,3.23%,12.23%,24.00%,25.82%,13.92%,1.15,3.99,2.09% 2.04%,186.57,186.87,0.16%
ADM,S&P 500,43.53B,4.34B,101.56B,43.91,1.90,1.80,2.25%,42000,Yes,Yes,2.20,10.38,11.99,-,0.43,1.82,41.97,34.55,0.90,1.50,0.38,0.32,-1.98%,7.70,6.66,1.76,61.30%,-3.52%,-2.80%,29.40%,10.80%,12.30%,33.10%,Jan 26 BMO,-5.77%,0.20%,-38.76%,81.80%,-1.05%,7.10%,18.00%,9.80%,7.50%,4.10%,4.30%,20.70%,-7.37%,553.00M,546.57M,1.27% / 2.17,6.93M,102.92,70.02 - 98.88,-19.61%,13.52%,36.57,0.47,3.20M,"774,159",-1.34%,-3.83%,-12.50%,-8.87%,-4.38%,-14.39%,0.80,1.47,1.74% 1.75%,79.91,79.49,-0.53%
ADP,"NDX, S&P 500",91.07B,3.15B,17.25B,7.21,3.32,5.00,2.25%,60000,Yes,Yes,3.00,29.49,24.65,2.20,5.28,30.79,66.90,57.99,1.00,1.00,1.00,1.00,-0.71%,7.53,9.01,2.44,15.40%,10.93%,13.43%,12.00%,5.90%,9.10%,18.70%,Jan 25 BMO,-3.48%,0.10%,-46.41%,81.90%,0.81%,5.30%,96.90%,47.10%,43.70%,23.70%,18.20%,55.00%,-5.12%,414.30M,410.16M,1.17% / 2.48,4.78M,247.81,196.61 - 274.92,-19.12%,13.09%,43.82,0.40,1.93M,"398,554",-0.09%,-1.95%,-13.99%,-8.01%,8.26%,-6.91%,0.82,3.74,1.44% 1.61%,221.97,222.35,0.17%
ADSK,"NDX, S&P 500",42.78B,823.00M,5.00B,4.19,8.62,-,-,12600,Yes,Yes,2.10,54.06,24.52,3.16,8.55,48.81,23.71,26.06,0.70,0.70,2.90,2.52,-3.23%,3.78,8.34,1.55,-58.80%,15.37%,17.10%,23.40%,16.60%,13.70%,48.50%,Feb 23 AMC,0.01%,0.10%,-1.92%,95.00%,2.10%,6.60%,70.20%,15.80%,90.40%,15.80%,11.10%,0.00%,2.46%,216.00M,215.09M,1.08% / 1.72,2.33M,231.93,163.20 - 235.01,-12.36%,26.20%,47.32,0.54,1.35M,"373,095",2.40%,-7.91%,5.83%,-0.11%,5.11%,10.22%,1.53,6.76,2.76% 2.75%,204.51,205.96,0.71%
AEE,S&P 500,21.43B,1.07B,7.96B,40.57,0.97,2.52,3.03%,9244,Yes,Yes,2.20,20.09,17.74,3.03,2.69,2.05,85.73,13.20,0.60,0.80,1.44,1.30,-0.22%,4.14,4.69,0.98,7.70%,7.38%,6.64%,8.30%,5.20%,32.40%,29.70%,Feb 15 AMC,-2.64%,0.20%,-20.06%,80.00%,-1.68%,2.90%,10.60%,5.20%,72.30%,19.00%,13.50%,42.60%,-3.93%,259.00M,257.49M,1.48% / 2.74,3.81M,92.82,73.28 - 99.20,-15.11%,14.92%,48.02,0.39,1.39M,"278,405",2.23%,-2.07%,-3.53%,-11.92%,-4.03%,-5.30%,0.44,1.58,2.02% 1.82%,83.15,84.21,1.27%
AEP,"NDX, S&P 500",45.32B,2.31B,19.64B,46.59,1.37,3.32,3.72%,16974,Yes,Yes,2.30,19.84,15.84,3.25,2.31,1.92,65.03,12.80,0.60,0.60,1.67,1.41,1.02%,4.50,5.64,1.34,-9.40%,6.50%,6.10%,3.30%,4.90%,20.20%,-30.10%,Feb 23 BMO,-1.95%,0.03%,-28.92%,75.70%,0.34%,2.50%,9.60%,5.40%,63.90%,17.70%,11.70%,70.30%,-4.14%,513.88M,513.70M,1.27% / 2.35,6.53M,103.00,80.30 - 105.60,-14.07%,13.01%,50.99,0.51,2.78M,"734,734",3.13%,-1.67%,-5.84%,-13.36%,-4.73%,-4.43%,0.45,1.80,1.95% 1.98%,89.30,90.74,1.62%
AES,S&P 500,16.23B,-546.00M,12.62B,2.97,3.20,0.66,2.69%,9100,Yes,Yes,1.80,-,12.92,-,1.29,8.32,7.71,-,1.00,1.20,14.70,13.60,-1.81%,-1.19,1.91,0.35,-31.80%,10.96%,8.07%,-2.90%,3.70%,10.50%,-49.50%,Feb 27 BMO,-5.80%,0.33%,-25.68%,97.40%,0.34%,-1.50%,-25.60%,2.20%,20.20%,6.40%,-4.30%,-,0.30%,668.82M,666.27M,1.78% / 2.89,11.89M,31.00,18.62 - 29.89,-16.29%,34.37%,41.92,0.42,4.11M,"895,469",1.54%,-5.30%,-11.06%,-7.95%,16.05%,-13.00%,0.94,0.64,2.35% 2.47%,24.72,25.02,1.21%
AFL,S&P 500,39.96B,4.20B,19.53B,36.09,6.52,1.68,2.54%,12882,Yes,Yes,2.90,10.08,10.94,8.92,2.05,1.83,10.13,13.78,-,-,0.33,0.33,-4.61%,6.56,6.04,1.41,3.10%,6.50%,1.13%,14.50%,-2.10%,-26.20%,-81.10%,Feb 01 AMC,-7.21%,0.10%,-15.80%,60.60%,-0.90%,3.10%,16.40%,14.90%,-,24.70%,21.50%,24.30%,2.82%,619.68M,563.18M,1.83% / 3.93,10.29M,71.50,52.07 - 74.01,-11.53%,25.75%,29.81,0.60,2.62M,"803,621",-3.08%,-6.39%,-7.89%,7.59%,10.55%,-8.98%,0.94,1.29,1.97% 1.74%,66.12,65.48,-0.97%
AIG,S&P 500,42.16B,10.25B,56.44B,53.06,2.78,1.28,2.23%,26200,Yes,Yes,2.30,4.49,7.83,0.28,0.75,1.08,20.64,13.07,-,-,0.69,0.63,-6.76%,12.79,7.33,1.51,20.20%,17.72%,15.98%,81.60%,2.60%,-17.80%,-92.10%,Feb 15 AMC,-8.75%,0.34%,0.00%,92.00%,-3.08%,1.90%,23.00%,18.60%,-,27.30%,18.20%,9.90%,-0.34%,744.82M,729.88M,0.73% / 1.19,5.35M,71.00,47.05 - 65.73,-14.07%,20.04%,28.26,0.84,4.49M,"1,937,597",-5.91%,-6.81%,-8.45%,5.18%,1.84%,-10.69%,1.16,1.27,2.27% 2.04%,57.35,56.48,-1.52%
AIZ,S&P 500,6.43B,276.60M,10.20B,79.18,29.18,2.80,2.29%,13700,Yes,Yes,2.00,24.20,9.06,2.03,0.63,1.54,4.18,24.68,-,-,0.50,0.50,-5.08%,5.04,13.47,2.81,-49.30%,16.65%,11.90%,-4.00%,9.70%,3.30%,-40.80%,Feb 07 AMC,-5.01%,0.20%,-0.50%,99.00%,-6.41%,0.80%,6.20%,6.10%,-,4.50%,2.70%,53.90%,-17.32%,53.41M,52.33M,2.00% / 2.61,1.04M,157.80,119.01 - 194.12,-36.99%,2.78%,32.21,0.58,399.57K,"118,994",-2.77%,-9.83%,-5.41%,-24.57%,-26.40%,-2.19%,0.55,2.57,1.96% 2.10%,122.06,122.32,0.21%
AJG,S&P 500,39.66B,1.11B,8.55B,43.29,1.63,2.20,1.16%,44000,Yes,Yes,1.90,36.36,18.94,3.56,4.64,4.37,115.85,26.21,1.00,1.00,0.67,0.61,-0.06%,5.20,9.98,3.02,18.60%,12.75%,10.20%,12.80%,6.50%,2.80%,22.00%,Jan 26 AMC,-1.29%,0.30%,-10.29%,87.20%,1.94%,2.80%,12.50%,9.20%,44.30%,18.50%,13.00%,37.90%,4.38%,211.20M,208.85M,0.63% / 1.75,1.31M,212.50,148.24 - 202.37,-6.58%,27.54%,47.90,0.84,750.50K,"322,935",1.09%,-4.26%,-3.53%,1.33%,25.93%,0.28%,0.70,3.27,1.72% 1.75%,188.98,189.06,0.04%
AKAM,S&P 500,11.30B,523.70M,3.62B,27.75,7.28,-,-,9800,Yes,Yes,2.70,22.76,12.32,1.90,3.12,2.68,10.22,10.93,2.40,2.40,0.00,0.52,-4.02%,3.27,6.04,1.32,-17.00%,10.46%,12.00%,17.80%,7.80%,2.50%,15.40%,Feb 14 AMC,-10.31%,0.10%,-14.54%,95.40%,-1.96%,6.40%,12.20%,8.30%,61.70%,18.70%,14.50%,0.00%,-15.70%,157.11M,154.56M,4.74% / 4.71,7.32M,94.93,72.14 - 123.25,-39.28%,3.74%,36.29,0.55,1.55M,"443,411",1.81%,-15.11%,-16.67%,-17.11%,-30.10%,-11.22%,0.80,1.84,2.03% 2.26%,74.41,74.84,0.58%
ALB,S&P 500,28.65B,2.69B,7.32B,68.13,13.25,1.60,0.63%,7400,Yes,Yes,2.40,11.10,8.77,-,3.91,3.72,19.11,62.05,1.10,1.90,0.40,0.40,-6.37%,22.82,28.88,7.27,30.40%,0.87%,-,43.50%,19.00%,193.10%,-,Feb 15 AMC,-3.88%,0.10%,-18.71%,85.80%,1.78%,20.20%,40.40%,18.60%,42.00%,33.70%,36.70%,6.90%,-5.10%,117.16M,116.97M,3.45% / 2.58,4.04M,314.24,172.78 - 334.55,-27.44%,40.50%,41.36,0.94,1.56M,"758,272",-3.04%,-13.10%,-5.90%,-13.05%,34.31%,11.94%,1.57,10.42,3.52% 4.01%,253.25,242.76,-4.14%
ALGN,"NDX, S&P 500",23.83B,361.60M,3.73B,46.45,13.94,-,-,23165,Yes,Yes,2.10,72.25,34.12,1.67,6.38,7.15,23.84,86.09,1.10,1.30,0.00,0.00,3.40%,4.60,9.74,1.67,-52.40%,21.59%,43.25%,3.60%,20.40%,-12.60%,-77.60%,Feb 01 AMC,18.62%,0.30%,8.40%,89.30%,-1.47%,6.10%,9.90%,11.20%,70.50%,17.20%,9.70%,0.00%,34.44%,77.54M,73.17M,3.87% / 2.55,2.83M,336.22,172.05 - 461.79,-28.33%,92.36%,62.77,0.34,1.11M,"196,526",5.67%,-4.09%,77.90%,32.42%,-20.25%,56.93%,1.60,12.36,4.28% 3.69%,332.26,330.96,-0.39%
ALK,S&P 500,6.22B,58.00M,9.65B,29.97,19.13,-,-,22922,Yes,Yes,1.90,112.61,7.17,5.80,0.64,1.64,2.57,4.40,0.70,0.70,0.57,0.49,-0.71%,0.44,6.87,-0.40,-87.60%,23.83%,19.43%,-40.00%,4.10%,30.50%,453.40%,Jan 26 BMO,0.13%,0.20%,-1.89%,79.90%,2.40%,0.40%,1.50%,0.80%,51.60%,0.70%,0.60%,0.00%,7.48%,127.31M,126.36M,2.86% / 2.61,3.61M,62.71,38.19 - 61.55,-21.17%,27.07%,48.24,0.56,1.38M,"400,495",1.13%,-6.33%,4.79%,5.27%,3.96%,12.99%,1.54,1.19,2.22% 2.11%,49.21,48.52,-1.40%
ALL,S&P 500,31.77B,-1416.00M,51.41B,58.66,2.84,3.56,2.91%,54000,Yes,Yes,2.30,-,9.23,-,0.62,2.09,43.16,8.41,-,-,0.51,0.51,-8.13%,-5.33,13.26,1.75,-130.80%,88.86%,-2.19%,-21.60%,5.40%,4.90%,-131.40%,Feb 01 AMC,-8.94%,0.66%,-5.24%,81.50%,1.17%,-1.50%,-8.00%,-5.80%,-,-3.60%,-2.80%,-,-5.97%,264.30M,261.64M,1.38% / 2.25,3.62M,144.64,111.85 - 144.46,-16.30%,8.10%,27.73,0.48,1.61M,"402,165",-4.25%,-11.56%,-7.21%,-3.36%,-0.92%,-10.83%,0.60,2.80,2.17% 2.11%,122.40,120.91,-1.22%
ALLE,S&P 500,9.85B,458.00M,3.27B,10.70,3.34,1.80,1.57%,12300,Yes,Yes,2.60,22.03,16.53,2.14,3.01,10.69,34.21,39.15,1.00,1.70,2.22,2.21,-1.82%,5.19,6.92,1.37,-2.80%,8.43%,10.30%,8.90%,6.30%,21.50%,22.50%,Feb 22 BMO,-0.09%,0.10%,14.86%,97.60%,1.74%,12.60%,56.30%,17.20%,40.40%,17.70%,14.00%,31.50%,8.31%,88.00M,87.40M,1.45% / 1.93,1.27M,124.08,87.33 - 123.46,-7.83%,30.30%,46.32,0.58,655.02K,"196,683",1.14%,-5.38%,4.23%,16.11%,2.12%,8.10%,1.11,2.48,1.64% 2.21%,114.35,113.79,-0.49%
AMAT,"NDX, S&P 500",99.84B,6.45B,26.25B,15.88,4.81,1.04,0.88%,33000,Yes,Yes,2.10,15.90,17.27,1.27,3.80,7.47,24.67,31.18,1.50,2.30,0.43,0.41,3.17%,7.46,6.87,1.84,16.10%,-3.42%,12.48%,18.00%,11.90%,7.50%,1.20%,Feb 16 AMC,7.29%,0.35%,-0.24%,79.90%,0.75%,24.30%,52.40%,38.00%,46.40%,29.60%,24.60%,10.10%,18.17%,845.00M,834.65M,1.23% / 1.63,10.30M,129.51,71.12 - 142.01,-15.93%,67.87%,58.06,0.57,6.33M,"1,864,092",0.79%,-0.94%,14.02%,29.86%,-3.83%,22.60%,1.61,3.65,2.79% 2.90%,118.65,119.39,0.62%
AMCR,S&P 500,16.24B,1.06B,14.97B,2.95,0.56,0.49,4.47%,37000,Yes,Yes,3.00,15.38,13.42,4.94,1.08,3.71,19.40,738.19,0.80,1.30,1.59,1.57,-2.13%,0.71,0.82,0.18,-12.20%,5.29%,3.12%,1.80%,9.80%,3.80%,108.90%,Feb 07 AMC,-5.92%,0.20%,-47.89%,48.50%,-0.81%,6.10%,25.20%,8.90%,19.10%,10.20%,7.10%,67.40%,-8.32%,1.48B,1.47B,1.95% / 3.68,28.76M,11.86,10.42 - 13.60,-19.15%,5.57%,37.09,0.63,7.82M,"2,545,941",-1.87%,-7.49%,-9.47%,-9.09%,0.55%,-7.64%,0.85,0.20,1.49% 1.83%,10.95,11.00,0.46%
AMD,"NDX, S&P 500",135.74B,1.32B,23.60B,33.84,3.68,-,-,25000,Yes,Yes,2.10,96.46,19.73,9.53,5.75,2.52,23.18,43.58,1.80,2.40,0.05,0.05,6.33%,0.89,4.33,0.56,-67.30%,41.90%,10.12%,21.90%,35.10%,16.00%,-98.40%,Jan 31 AMC,14.10%,0.50%,-1.69%,70.70%,3.30%,2.00%,2.40%,2.40%,44.90%,5.40%,5.60%,0.00%,10.09%,1.62B,1.61B,1.96% / 0.56,31.50M,93.78,54.57 - 125.67,-31.48%,57.80%,64.08,1.59,56.32M,"46,038,530",7.05%,0.23%,22.54%,8.17%,-18.40%,32.95%,1.92,3.25,4.13% 3.71%,85.37,86.11,0.87%
AME,S&P 500,32.03B,1.16B,6.15B,32.54,1.52,1.00,0.71%,19600,Yes,Yes,2.40,28.10,21.89,2.81,5.21,4.33,92.74,39.63,0.90,1.60,0.32,0.29,-1.88%,5.01,6.43,1.41,17.80%,7.34%,10.00%,14.50%,7.40%,8.10%,10.00%,Feb 02 BMO,-1.71%,0.30%,-29.79%,89.00%,0.86%,9.60%,16.30%,12.50%,34.90%,24.40%,18.90%,17.50%,9.34%,229.75M,228.54M,0.64% / 1.52,1.45M,159.50,106.17 - 148.06,-5.05%,32.41%,42.99,0.52,953.11K,"254,709",-1.24%,-4.20%,0.54%,14.64%,9.12%,0.62%,1.23,2.30,1.57% 1.54%,140.77,140.58,-0.13%
AMGN,"DJIA, NDX, S&P 500",121.94B,6.55B,26.32B,6.84,17.43,8.52,3.73%,25200,Yes,Yes,2.70,18.85,12.14,4.57,4.63,33.40,13.10,26.57,1.10,1.40,10.64,10.20,-3.36%,12.12,18.82,4.02,17.80%,5.94%,4.12%,2.00%,2.90%,-0.10%,-10.80%,Jan 31 AMC,-8.90%,0.21%,-0.08%,79.10%,-1.48%,10.60%,246.10%,20.60%,75.70%,36.60%,24.90%,63.70%,-9.43%,535.00M,532.78M,1.40% / 2.97,7.44M,258.76,223.30 - 296.67,-22.93%,2.40%,30.84,0.38,2.50M,"484,609",-2.59%,-6.29%,-19.29%,-6.59%,-1.06%,-12.94%,0.64,4.21,1.57% 1.67%,228.43,228.65,0.10%
AMP,S&P 500,35.06B,2.56B,14.35B,33.18,68.21,5.00,1.48%,13500,Yes,Yes,2.10,15.01,9.98,1.41,2.44,10.16,4.94,9.50,-,-,10.01,1.43,-6.25%,22.45,33.75,7.30,-2.10%,9.05%,10.66%,14.80%,3.30%,-2.40%,-25.90%,Jan 25 AMC,-3.89%,0.20%,-35.61%,85.20%,-1.43%,1.60%,63.20%,6.90%,51.00%,23.60%,17.80%,21.30%,10.54%,108.90M,105.02M,0.75% / 1.55,0.79M,381.82,219.99 - 357.46,-9.54%,46.99%,31.86,0.92,506.94K,"239,196",-5.15%,-8.48%,0.48%,16.80%,23.71%,3.85%,1.48,7.52,1.88% 1.99%,336.97,323.36,-4.04%
AMT,S&P 500,88.92B,1.77B,10.71B,11.97,4.47,6.24,3.19%,6391,Yes,Yes,2.00,50.98,39.30,275.58,8.30,16.36,43.84,-,0.40,0.40,6.94,6.13,-4.51%,3.84,4.98,1.08,-32.60%,14.08%,0.18%,7.40%,10.00%,10.60%,-248.10%,Feb 23 BMO,-8.64%,0.10%,-12.02%,93.20%,-0.41%,2.60%,29.20%,5.30%,69.50%,22.00%,16.50%,147.60%,-15.49%,465.65M,464.37M,0.67% / 1.60,3.11M,246.81,178.17 - 282.47,-30.73%,9.82%,38.19,0.52,1.94M,"519,850",-0.95%,-10.85%,-7.93%,-24.60%,-14.17%,-7.65%,0.57,5.53,2.72% 2.47%,195.77,195.66,-0.06%
AMZN,"NDX, S&P 500",934.33B,-2722.00M,513.98B,14.29,7.04,-,-,1541000,Yes,Yes,1.80,-,37.43,-,1.82,6.57,13.34,-,0.70,0.90,0.61,0.58,-0.86%,-0.27,2.51,0.23,-108.20%,172.72%,-,-26.00%,23.60%,8.60%,-98.00%,Feb 02 AMC,0.21%,9.80%,-0.02%,60.10%,0.63%,-0.60%,-2.00%,6.60%,43.80%,2.40%,-0.50%,-,-12.64%,10.22B,9.25B,0.67% / 0.86,62.13M,133.64,81.43 - 170.83,-44.30%,16.86%,48.63,0.73,71.96M,"26,986,250",3.29%,-6.81%,7.83%,-26.51%,-30.04%,13.29%,1.25,2.96,2.43% 2.73%,93.92,95.16,1.32%
ANET,S&P 500,44.14B,1.35B,4.38B,15.96,10.16,-,-,3612,Yes,Yes,2.20,34.71,23.06,1.74,10.08,9.30,14.60,98.49,3.20,4.30,0.00,0.00,9.23%,4.28,6.43,1.34,62.30%,11.59%,19.90%,23.30%,21.60%,54.70%,81.00%,Feb 13 AMC,18.51%,0.10%,-50.90%,67.90%,1.47%,21.80%,31.00%,26.60%,61.10%,34.90%,30.90%,0.00%,27.92%,306.16M,234.13M,1.17% / 1.24,2.73M,167.49,89.11 - 148.90,1.73%,69.98%,73.96,1.69,2.20M,"1,910,130",10.91%,12.28%,17.39%,25.95%,32.18%,24.83%,1.24,4.29,2.71% 3.11%,148.40,151.48,2.08%
ANSS,"NDX, S&P 500",26.11B,523.70M,2.07B,55.92,7.12,-,-,5600,Yes,Yes,2.30,50.55,31.60,5.44,12.64,5.41,42.48,43.04,2.10,2.10,0.00,0.15,6.38%,5.99,9.58,1.61,16.00%,10.68%,9.30%,13.60%,13.50%,5.90%,28.00%,Feb 22 AMC,14.02%,0.10%,-17.77%,96.30%,-0.37%,8.40%,11.50%,9.60%,87.90%,28.70%,25.40%,0.00%,21.53%,87.02M,86.78M,0.82% / 1.46,0.71M,306.87,194.23 - 328.94,-7.38%,56.85%,64.47,0.87,490.08K,"220,539",-0.93%,9.95%,24.91%,21.97%,1.91%,26.10%,1.24,7.78,2.23% 2.39%,302.63,304.65,0.67%
